"kingdom","phylum","class","order","family","genus","valid_name","scientificname","adult","adult_simple","adult_tidy","valid_AphiaID","rank"
"Chromista","Ciliophora","Spirotrichea","Euplotida","Euplotidae","Euplotes","Euplotes","Euplotes","benthos","Macrobenthos","Macrobenthos"," 179326","Genus"
"Chromista","Ciliophora","Spirotrichea","Euplotida","Euplotidae","Euplotes","Euplotes aediculatus","Euplotes aediculatus","benthos","Macrobenthos","Macrobenthos"," 427655","Species"
"Chromista","Ciliophora","Spirotrichea","Euplotida","Euplotidae","Euplotes","Euplotes alatus","Euplotes alatus","benthos","Macrobenthos","Macrobenthos"," 427657","Species"
"Chromista","Ciliophora","Spirotrichea","Euplotida","Euplotidae","Euplotes","Euplotes bisulcatus","Euplotes bisulcatus","benthos","Macrobenthos","Macrobenthos"," 427661","Species"
"Chromista","Ciliophora","Spirotrichea","Euplotida","Euplotidae","Euplotes","Euplotes cristatus","Euplotes cristatus","benthos","Macrobenthos","Macrobenthos"," 417111","Species"
"Chromista","Ciliophora","Spirotrichea","Euplotida","Euplotidae","Euplotes","Euplotes orientalis","Euplotes orientalis","benthos","Macrobenthos","Macrobenthos"," 427672","Species"
"Chromista","Ciliophora","Spirotrichea","Euplotida","Euplotidae","Euplotes","Euplotes parabalteatus","Euplotes parabalteatus","benthos","Macrobenthos","Macrobenthos"," 427673","Species"
"Chromista","Ciliophora","Spirotrichea","Euplotida","Euplotidae","Euplotes","Euplotes rariseta","Euplotes rariseta","benthos","Macrobenthos","Macrobenthos"," 341652","Species"
"Chromista","Oomycota","Peronosporea","Saprolegniales","Ectrogellaceae","Eurychasma","Eurychasma dicksonii","Eurychasma dicksonii",NA,NA,NA," 172155","Species"
"Chromista","Ciliophora","Oligotrichea","Choreotrichida","Eutintinnidae","Eutintinnus","Eutintinnus","Eutintinnus","microplankton","Other","Plankton"," 183543","Genus"
"Chromista","Ciliophora","Oligotrichea","Choreotrichida","Eutintinnidae","Eutintinnus","Eutintinnus perminutus","Eutintinnus perminutus","microplankton","Other","Plankton"," 183568","Species"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala","Exophiala",NA,NA,NA,"1415558","Genus"
"Chromista","Ochrophyta","Raphidophyceae","Chattonellales","Vacuolariaceae","Fibrocapsa","Fibrocapsa japonica","Fibrocapsa japonica","mixoplankton","Other","Plankton"," 233761","Species"
"Protozoa","Amoebozoa","Tubulinea","Leptomyxida","Flabellulidae","Flabellula","Flabellula citata","Flabellula citata",NA,NA,NA," 120594","Species"
"Chromista","Heterokontophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","Fragilariopsis","Fragilariopsis","phytoplankton","Other","Plankton"," 149313","Genus"
"Chromista","Heterokontophyta","Bacillariophyceae","Naviculales","Amphipleuraceae","Frustulia","Frustulia","Frustulia","phytoplankton","Other","Plankton"," 604810","Genus"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","fish","fish","Fish"," 126436","Species"
"Chromista","Ciliophora","Spirotrichea","Euplotida","Gastrocirrhidae","Gastrocirrhus","Gastrocirrhus monilifer","Gastrocirrhus monilifer","benthos","Macrobenthos","Macrobenthos"," 427692","Species"
"Chromista","Ciliophora","Oligohymenophorea","Philasterida","Parauronematidae","Glauconema","Glauconema trihymene","Glauconema trihymene","benthos","Macrobenthos","Macrobenthos"," 427062","Species"
"Chromista","Cryptophyta","Goniomonadophyceae","Goniomonadales","Cyathomonadaceae","Goniomonas","Goniomonas","Goniomonas","phytoplankton","Other","Plankton"," 106286","Genus"
"Chromista","Cryptophyta","Goniomonadophyceae","Goniomonadales","Cyathomonadaceae","Goniomonas","Goniomonas avonlea","Goniomonas avonlea","phytoplankton","Other","Plankton","1371601","Species"
"Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Gonyaulax","Gonyaulax","Gonyaulax","phytoplankton","Other","Plankton"," 109519","Genus"
"Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Gonyaulax","Gonyaulax spinifera","Gonyaulax spinifera","nanoplankton","Other","Plankton"," 110041","Species"
"Chromista","Heterokontophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Grammonema","Grammonema","Grammonema","phytoplankton","Other","Plankton"," 602444","Genus"
"Chromista","Heterokontophyta","Bacillariophyceae","Rhizosoleniales","Rhizosoleniaceae","Guinardia","Guinardia","Guinardia","phytoplankton","Other","Plankton"," 149111","Genus"
"Chromista","Ciliophora","Oligohymenophorea","Apostomatida","Foettingeriidae","Gymnodinioides","Gymnodinioides pitelkae","Gymnodinioides pitelkae","benthos","Macrobenthos","Macrobenthos"," 389272","Species"
"Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodinium","Gymnodinium microreticulatum","Gymnodinium microreticulatum","phytoplankton","Other","Plankton"," 232813","Species"
"Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gyrodiniaceae","Gyrodinium","Gyrodinium","Gyrodinium","phytoplankton","Other","Plankton"," 109476","Genus"
"Chromista","Heterokontophyta","Bacillariophyceae","Naviculales","Pleurosigmataceae","Gyrosigma","Gyrosigma acuminatum","Gyrosigma acuminatum","benthos","Macrobenthos","Macrobenthos"," 149035","Species"
"Chromista","Oomycota","Peronosporea","Saprolegniales","Haliphthoraceae","Haliphthoros","Haliphthoros","Haliphthoros",NA,NA,NA," 172147","Genus"
"Plantae","Tracheophyta","Magnoliopsida","Alismatales","Cymodoceaceae","Halodule","Halodule uninervis","Halodule uninervis","phytobenthos","Other","Seagrass"," 208924","Species"
"Chromista","Myzozoa","Dinoflagellata incertae sedis",NA,NA,"Halostylodinium","Halostylodinium arenarium","Halostylodinium arenarium","microbenthos","Other","Microbenthos"," 612887","Species"
"Chromista","Haptophyta","Coccolithophyceae","Prymnesiales","Prymnesiaceae","Haptolina","Haptolina brevifila","Haptolina brevifila","mixoplankton","Other","Plankton"," 624975","Species"
"Chromista","Haptophyta","Coccolithophyceae","Prymnesiales","Prymnesiaceae","Haptolina","Haptolina hirta","Haptolina hirta","mixoplankton","Other","Plankton"," 699623","Species"
"Chromista","Heterokontophyta","Bacillariophyceae","Naviculales","Naviculaceae","Haslea","Haslea nipkowii","Haslea nipkowii","phytoplankton","Other","Plankton"," 549204","Species"
"Animalia","Tardigrada","Eutardigrada","Parachela","Ramazzottiidae","Hebesuncus","Hebesuncus","Hebesuncus","benthos","Macrobenthos","Macrobenthos"," 342571","Genus"
"Protozoa","Choanozoa","Choanoflagellatea","Acanthoecida","Acanthoecidae","Helgoeca","Helgoeca nana","Helgoeca nana",NA,NA,NA," 580086","Species"
"Chromista","Cryptophyta","Cryptophyceae","Pyrenomonadales","Chroomonadaceae","Hemiselmis","Hemiselmis","Hemiselmis","phytoplankton","Other","Plankton"," 106287","Genus"
"Chromista","Cryptophyta","Cryptophyceae","Pyrenomonadales","Chroomonadaceae","Hemiselmis","Hemiselmis cryptochromatica","Hemiselmis cryptochromatica","phytoplankton","Other","Plankton"," 623450","Species"
"Chromista","Cryptophyta","Cryptophyceae","Pyrenomonadales","Chroomonadaceae","Hemiselmis","Hemiselmis rufescens","Hemiselmis rufescens","phytoplankton","Other","Plankton"," 573878","Species"
"Chromista","Ciliophora","Oligohymenophorea","Philasterida","Uronematidae","Homalogastra","Homalogastra","Homalogastra","benthos","Macrobenthos","Macrobenthos"," 425585","Genus"
"Chromista","Ciliophora","Oligohymenophorea","Philasterida","Uronematidae","Homalogastra","Homalogastra setosa","Homalogastra setosa","benthos","Macrobenthos","Macrobenthos","1769006","Species"
"Chromista","Ciliophora","Oligohymenophorea","Apostomatida","Foettingeriidae","Hyalophysa","Hyalophysa","Hyalophysa","benthos","Macrobenthos","Macrobenthos"," 415489","Genus"
"Chromista","Haptophyta","Coccolithophyceae","Coccolithales","Hymenomonadaceae","Hymenomonas","Hymenomonas globosa","Hymenomonas globosa","phytoplankton","Other","Plankton"," 555940","Species"
"Plantae","Tracheophyta","Magnoliopsida","Aquifoliales","Aquifoliaceae","Ilex","Ilex","Ilex",NA,NA,NA," 415505","Genus"
"Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae","Impatiens","Impatiens","Impatiens",NA,NA,NA," 594782","Genus"
"Chromista","Haptophyta","Coccolithophyceae","Isochrysidales","Isochrysidaceae","Isochrysis","Isochrysis galbana","Isochrysis galbana","mixoplankton","Other","Plankton"," 573884","Species"
"Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Kareniaceae","Karlodinium","Karlodinium","Karlodinium","phytoplankton","Other","Plankton"," 231789","Genus"
"Chromista","Cryptophyta","Cryptophyta incertae sedis",NA,"Katablepharidaceae","Katablepharis","Katablepharis","Katablepharis",NA,NA,NA," 601744","Genus"
"Animalia","Xenacoelomorpha",NA,"Acoela","Proporidae","Kuma","Kuma albiventer","Kuma albiventer","macrobenthos","Macrobenthos","Macrobenthos"," 379998","Species"
"Chromista","Bigyra","Labyrinthulea","Labyrinthulida","Labyrinthulaceae","Labyrinthula","Labyrinthula","Labyrinthula",NA,NA,NA," 119090","Genus"
"Chromista","Bigyra","Labyrinthulea","Thraustochytrida","Thraustochytriaceae","Labyrinthuloides","Labyrinthuloides minuta","Labyrinthuloides minuta",NA,NA,NA," 177380","Species"
"Protozoa","Choanozoa","Choanoflagellatea","Craspedida","Codosigidae","Lagenoeca","Lagenoeca","Lagenoeca",NA,NA,NA," 474842","Genus"
"Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Lecanoraceae","Lecanora","Lecanora","Lecanora",NA,NA,NA," 147715","Genus"
"Chromista","Myzozoa","Conoidasida","Eugregarinorida","Lecudinidae","Lecudina","Lecudina","Lecudina",NA,NA,NA," 562703","Genus"
