ASV_326	"Dinophysis acuta"
ASV_6282	"Phalacroma rotundatum"
ASV_1345	"Gonyaulacales"
ASV_1348	"Gonyaulacales"
ASV_10731	"Gonyaulacales"
ASV_11700	"Gonyaulacales"
ASV_826	"Amphidoma languida"
ASV_9841	"Amphidoma languida"
ASV_12542	"Alexandrium minutum"
ASV_12282	"Gymnodiniales"
ASV_480	"Margalefidinium polykrikoides"
ASV_714	"Margalefidinium polykrikoides"
ASV_745	"Margalefidinium polykrikoides"
ASV_831	"Margalefidinium polykrikoides"
ASV_882	"Margalefidinium polykrikoides"
ASV_1347	"Margalefidinium polykrikoides"
ASV_1494	"Margalefidinium polykrikoides"
ASV_1586	"Margalefidinium polykrikoides"
ASV_4174	"Margalefidinium polykrikoides"
ASV_6674	"Margalefidinium polykrikoides"
ASV_8065	"Margalefidinium polykrikoides"
ASV_2	"Nusuttodinium"
ASV_10	"Nusuttodinium"
ASV_150	"Nusuttodinium"
ASV_358	"Nusuttodinium"
ASV_13593	"Nusuttodinium"
ASV_1575	"Kareniaceae"
ASV_1869	"Kareniaceae"
ASV_3246	"Kareniaceae"
ASV_108	"Takayama acrotrocha"
ASV_1435	"Takayama acrotrocha"
ASV_10169	"Takayama acrotrocha"
ASV_235	"Heterocapsa rotundata"
ASV_4808	"Heterocapsa triquetra"
ASV_8610	"Heterocapsa triquetra"
ASV_9244	"Heterocapsa triquetra"
ASV_1487	"Durinskia baltica"
ASV_887	"Kryptoperidinium foliaceum"
ASV_936	"Kryptoperidinium foliaceum"
ASV_1434	"Kryptoperidinium foliaceum"
ASV_4058	"Kryptoperidinium foliaceum"
ASV_7028	"Kryptoperidinium foliaceum"
ASV_8776	"Kryptoperidinium foliaceum"
ASV_9328	"Kryptoperidinium foliaceum"
ASV_224	"Pfiesteria shumwayae"
ASV_1159	"Pfiesteria shumwayae"
ASV_46	"Prorocentrum"
ASV_399	"Prorocentrum minimum"
ASV_4805	"Suessiaceae"
ASV_2683	"Polarella glacialis"
ASV_9599	"Polarella glacialis"
ASV_3177	"Symbiodiniaceae"
ASV_11345	"Symbiodiniaceae sp. TCLJ-2021a"
ASV_3319	"Bacillariophyta"
ASV_20	"Cylindrotheca closterium"
ASV_76	"Cylindrotheca closterium"
ASV_172	"Cylindrotheca closterium"
ASV_500	"Cylindrotheca closterium"
ASV_546	"Cylindrotheca closterium"
ASV_563	"Cylindrotheca closterium"
ASV_1251	"Cylindrotheca closterium"
ASV_1355	"Cylindrotheca closterium"
ASV_1524	"Cylindrotheca closterium"
ASV_1633	"Cylindrotheca closterium"
ASV_481	"Nitzschia frustulum"
ASV_1518	"Nitzschia frustulum"
ASV_1888	"Nitzschia frustulum"
ASV_8654	"Tryblionella apiculata"
ASV_7940	"Phaeodactylum tricornutum"
ASV_741	"Melosira varians"
