ASV_171	"Acrochaetium secundatum"
ASV_2531	"Acrochaetium secundatum"
ASV_12771	"Acrochaetium secundatum"
ASV_8162	"Scinaia forcellata"
ASV_17497	"Palmaria palmata"
ASV_7643	"Rhodothamniella floridula"
ASV_5559	"Callithamniaceae"
ASV_12437	"Callithamniaceae"
ASV_895	"Ceramium ciliatum"
ASV_13822	"Ceramium echionotum"
ASV_30	"Ceramium pallidum"
ASV_176	"Ceramium secundatum"
ASV_184	"Ceramium secundatum"
ASV_245	"Ceramium secundatum"
ASV_1716	"Ceramium secundatum"
ASV_4656	"Ceramium secundatum"
ASV_7199	"Ceramium secundatum"
ASV_8736	"Ceramium secundatum"
ASV_1283	"Ceramium virgatum"
ASV_2014	"Ceramium virgatum"
ASV_15000	"Ceramium virgatum"
ASV_15544	"Ceramium virgatum"
ASV_17345	"Griffithsia corallinoides"
ASV_5433	"Pterothamnion plumula"
ASV_16126	"Acrosorium ciliolatum"
ASV_10303	"Apoglossum ruscifolium"
ASV_3974	"Cryptopleura ramosa"
ASV_5769	"Cryptopleura ramosa"
ASV_16690	"Cryptopleura ramosa"
ASV_10165	"Hypoglossum hypoglossoides"
ASV_3733	"Nitophyllum punctatum"
ASV_483	"Osmundea"
ASV_4256	"Osmundea oederi"
ASV_7067	"Osmundea oederi"
ASV_609	"Osmundea pinnatifida"
ASV_2636	"Osmundea pinnatifida"
ASV_8415	"Polysiphonioideae"
ASV_15773	"Polysiphonioideae"
ASV_2004	"Leptosiphonia brodiei"
ASV_6818	"Leptosiphonia brodiei"
ASV_529	"Leptosiphonia fibrillosa"
ASV_286	"Melanothamnus harveyi"
ASV_2560	"Melanothamnus harveyi"
ASV_13834	"Polysiphonia atlantica"
ASV_11581	"Polysiphonia elongata"
ASV_12770	"Polysiphonia elongata"
ASV_12351	"Polysiphonia fibrata"
ASV_1467	"Vertebrata fucoides"
ASV_3867	"Vertebrata lanosa"
ASV_11645	"Vertebrata lanosa"
ASV_15721	"Vertebrata woodii"
ASV_5637	"Rhodomela confervoides"
ASV_1031	"Gelidium pulchellum"
ASV_4111	"Gelidium pulchellum"
ASV_4626	"Gelidium pulchellum"
ASV_7617	"Gelidium pusillum"
ASV_3791	"Catenella caespitosa"
ASV_261	"Caulacanthus okamurae"
ASV_531	"Cystoclonium purpureum"
ASV_9935	"Cystoclonium purpureum"
ASV_11365	"Dumontia contorta"
ASV_57	"Chondrus crispus"
ASV_78	"Chondrus crispus"
ASV_158	"Chondrus crispus"
ASV_2940	"Chondrus crispus"
ASV_7088	"Chondrus crispus"
ASV_8464	"Kallymenia"
ASV_3920	"Metacallophyllis laciniata"
ASV_6852	"Metacallophyllis laciniata"
ASV_9994	"Gymnogongrus crenulatus"
ASV_2693	"Gymnogongrus griffithsiae"
ASV_109	"Mastocarpus stellatus"
ASV_438	"Mastocarpus stellatus"
ASV_1315	"Mastocarpus stellatus"
ASV_1642	"Mastocarpus stellatus"
ASV_8407	"Phyllophorella peruviana"
ASV_16079	"Polyides rotunda"
ASV_7187	"Gracilariopsis longissima"
ASV_5847	"Plocamium lyngbyanum"
ASV_16898	"Plocamium maggsiae"
ASV_836	"Lomentaria articulata"
ASV_17605	"Rhodymenia delicatula"
ASV_48	"Dinophyceae"
ASV_85	"Dinophyceae"
ASV_329	"Dinophyceae"
ASV_468	"Dinophyceae"
ASV_493	"Dinophyceae"
ASV_561	"Dinophyceae"
ASV_625	"Dinophyceae"
ASV_631	"Dinophyceae"
ASV_877	"Dinophyceae"
ASV_1245	"Dinophyceae"
ASV_1441	"Dinophyceae"
ASV_1705	"Dinophyceae"
ASV_1898	"Dinophyceae"
ASV_3093	"Dinophyceae"
ASV_3404	"Dinophyceae"
ASV_3624	"Dinophyceae"
ASV_4269	"Dinophyceae"
ASV_4300	"Dinophyceae"
ASV_4497	"Dinophyceae"
ASV_5620	"Dinophyceae"
ASV_6303	"Dinophyceae"
ASV_6387	"Dinophyceae"
ASV_6404	"Dinophyceae"
ASV_9063	"Dinophyceae"
ASV_9394	"Dinophyceae"
ASV_9426	"Dinophyceae"
ASV_10701	"Dinophyceae"
ASV_15090	"Dinophyceae"
ASV_8995	"Levanderina fissa"
ASV_8116	"Philozoon"
ASV_9816	"Phalacroma rotundatum"
ASV_1979	"Gonyaulacales"
ASV_14344	"Amphidoma languida"
ASV_3555	"Azadinium"
ASV_201	"Margalefidinium polykrikoides"
ASV_426	"Margalefidinium polykrikoides"
ASV_449	"Margalefidinium polykrikoides"
ASV_565	"Margalefidinium polykrikoides"
ASV_740	"Margalefidinium polykrikoides"
ASV_1583	"Margalefidinium polykrikoides"
ASV_1630	"Margalefidinium polykrikoides"
ASV_1853	"Margalefidinium polykrikoides"
ASV_2232	"Margalefidinium polykrikoides"
ASV_7710	"Margalefidinium polykrikoides"
ASV_8376	"Margalefidinium polykrikoides"
ASV_12	"Nusuttodinium"
ASV_270	"Nusuttodinium"
ASV_500	"Nusuttodinium"
ASV_973	"Kareniaceae"
ASV_6741	"Kareniaceae"
ASV_1572	"Takayama acrotrocha"
ASV_3063	"Takayama acrotrocha"
ASV_6978	"Takayama acrotrocha"
ASV_9516	"Oxyrrhis marina"
ASV_191	"Heterocapsa rotundata"
ASV_12322	"Heterocapsa triquetra"
ASV_7979	"Durinskia baltica"
ASV_135	"Kryptoperidinium foliaceum"
ASV_1375	"Kryptoperidinium foliaceum"
ASV_1377	"Kryptoperidinium foliaceum"
ASV_1622	"Kryptoperidinium foliaceum"
ASV_4247	"Kryptoperidinium foliaceum"
ASV_4471	"Kryptoperidinium foliaceum"
ASV_15527	"Kryptoperidinium foliaceum"
ASV_72	"Pfiesteria shumwayae"
ASV_2259	"Prorocentrum"
ASV_4735	"Prorocentrum"
ASV_9534	"Prorocentrum fukuyoi"
ASV_1522	"Prorocentrum lima"
ASV_7058	"Prorocentrum minimum"
ASV_2550	"Prorocentrum triestinum"
ASV_3109	"Polarella glacialis"
ASV_1437	"Symbiodiniaceae"
ASV_7543	"Symbiodiniaceae"
ASV_365	"Thoracosphaera heimii"
ASV_5842	"Chlorarachnion reptans"
ASV_15648	"Cafileria marina"
ASV_17107	"Cafileria marina"
ASV_17359	"Cafileria marina"
ASV_342	"Bacillariophyta"
ASV_356	"Bacillariophyta"
ASV_445	"Bacillariophyta"
ASV_1134	"Bacillariophyta"
ASV_1188	"Bacillariophyta"
ASV_3169	"Bacillariophyta"
ASV_9895	"Bacillariophyta"
ASV_378	"Cylindrotheca closterium"
ASV_548	"Cylindrotheca closterium"
ASV_578	"Cylindrotheca closterium"
ASV_3398	"Cylindrotheca closterium"
ASV_7570	"Cylindrotheca closterium"
ASV_10584	"Cylindrotheca closterium"
ASV_543	"Nitzschia frustulum"
ASV_1452	"Nitzschia longissima"
ASV_12160	"Nitzschia putrida"
ASV_8215	"Pseudo-nitzschia"
ASV_8081	"Pseudo-nitzschia pungens"
ASV_17347	"Haslea ostrearia"
ASV_5984	"Haslea pseudostrearia"
ASV_3241	"Coscinodiscophyceae"
ASV_11537	"Coscinodiscophyceae"
ASV_6515	"Coscinodiscus granii"
ASV_11223	"Stephanopyxis turris"
ASV_13457	"Paralia sulcata"
ASV_454	"Guinardia delicatula"
ASV_4959	"Guinardia delicatula"
ASV_7150	"Rhizosolenia setigera"
ASV_8280	"Skeletonema dohrnii"
ASV_4393	"Skeletonema menzelii"
ASV_166	"Thalassiosira nordenskioeldii"
ASV_1333	"Thalassiosira nordenskioeldii"
ASV_1655	"Thalassiosira nordenskioeldii"
ASV_9153	"Thalassiosira nordenskioeldii"
ASV_1433	"Thalassiosira pseudonana"
ASV_908	"Thalassionema nitzschioides"
ASV_969	"Thalassionema nitzschioides"
ASV_16642	"Thalassionema nitzschioides"
ASV_3513	"Odontella regia"
ASV_13706	"Psammoneis japonica"
ASV_1890	"Dictyocha speculum"
ASV_9985	"Dictyocha speculum"
ASV_11212	"Dictyocha speculum"
ASV_2287	"Pseudochattonella verruculosa"
ASV_9272	"Pseudochattonella verruculosa"
