ASV_7597	"Coelopa frigida"
ASV_900	"Coelopa frigida"
ASV_1700	"Coelopa frigida"
ASV_5716	"Coelopa frigida"
ASV_16786	"Orygma luctuosum"
ASV_1126	"Chironomidae"
ASV_7849	"Halocladius variabilis"
ASV_13903	"Halocladius variabilis"
ASV_17322	"Halocladius variabilis"
ASV_901	"Myrmecina graminicola"
ASV_1349	"Paraneoptera"
ASV_6342	"Anoecia sp. BIOUG22678-C10"
ASV_14208	"Thrips tabaci"
ASV_5138	"Echiniscoides sp. SigiSouth"
ASV_3011	"Chaetognatha environmental sample"
ASV_7051	"Chaetognatha environmental sample"
ASV_10555	"Chaetognatha environmental sample"
ASV_8886	"Chaetognatha environmental sample"
ASV_14484	"Philodina citrina"
ASV_3787	"Philodina roseola"
ASV_3615	"Rotaria rotatoria"
ASV_5959	"Rotaria rotatoria"
ASV_8535	"Rotaria rotatoria"
ASV_6298	"Rotaria rotatoria"
ASV_13024	"Testudinella clypeata"
ASV_7686	"Synchaeta triophthalma"
ASV_15002	"Synchaeta triophthalma"
ASV_3589	"Lumbricillus"
ASV_16052	"Lumbricillus dubius"
ASV_12013	"Lumbricillus lineatus"
ASV_17317	"Lumbricillus lineatus"
ASV_17775	"Lumbricillus lineatus"
ASV_7858	"Lumbricillus lineatus"
ASV_9920	"Lumbricillus lineatus"
ASV_19254	"Lumbricillus pagenstecheri complex sp. B MJK-2016"
ASV_17637	"Lumbricillus pagenstecheri complex sp. D MJK-2016"
ASV_15458	"Lumbricillus semifuscus"
ASV_15968	"Lumbricillus semifuscus"
ASV_2693	"Lumbricillus sp. E MJK-2016"
ASV_17965	"Lumbricillus sp. E MJK-2016"
ASV_11561	"Lumbricillus sp. G MJK-2016"
ASV_19606	"Amphichaeta sannio"
ASV_13299	"Nais"
ASV_10314	"Nais"
ASV_3500	"Nais barbata"
ASV_4976	"Nais barbata"
ASV_2394	"Nais elinguis"
ASV_8101	"Paranais litoralis"
ASV_7951	"Aktedrilus arcticus"
ASV_9726	"Baltidrilus costatus"
ASV_7312	"Clitellio arenarius"
ASV_14106	"Clitellio arenarius"
ASV_17988	"Clitellio arenarius"
ASV_5530	"Clitellio sp. BOLD:AAG8543"
ASV_2127	"Tubificoides benedii"
ASV_314	"Tubificoides benedii"
ASV_9691	"Ophryotrocha puerilis siberti"
ASV_15136	"Ophryotrocha puerilis siberti"
ASV_1892	"Lysidice ninetta"
ASV_4130	"Marphysa sanguinea"
ASV_13272	"Lumbrineris sp. BOLD:ACO5551"
ASV_2369	"Glycera"
ASV_2563	"Glycera"
ASV_3673	"Glycera"
ASV_9353	"Glycera"
ASV_6744	"Glycera tridactyla"
ASV_6327	"Psamathe fusca"
ASV_8145	"Psamathe fusca"
ASV_7012	"Psamathe fusca"
ASV_12062	"Psamathe fusca"
ASV_8076	"Nereididae"
ASV_14059	"Alitta virens"
ASV_16539	"Hediste diversicolor"
ASV_13001	"Nereis falsa"
