ASV_6	"Micromonas pusilla"
ASV_176	"Micromonas pusilla"
ASV_42	"Micromonas pusilla CCMP1545"
ASV_487	"Pycnococcus provasolii"
ASV_31	"Pyramimonas parkeae"
ASV_39	"Pyramimonas parkeae"
ASV_178	"Not assigned"
ASV_189	"Not assigned"
ASV_510	"Not assigned"
ASV_692	"Not assigned"
ASV_966	"Not assigned"
ASV_1170	"Not assigned"
ASV_1193	"Not assigned"
ASV_1405	"Not assigned"
ASV_1972	"Not assigned"
ASV_2689	"Not assigned"
ASV_2757	"Not assigned"
ASV_3269	"Not assigned"
ASV_4239	"Not assigned"
